clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.2767,Ips_Jac_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.2225,Ips_Jac_Net_Deg_euc
RISF,IMDB-BINARY,graph,0.3267,Ips_Jac_Net_Deg
RISF,IMDB-BINARY,graph,0.4308,Ips_Jac_Net_Deg
RISF,IMDB-BINARY,graph,0.4117,Ips_Jac_Net_Deg
RISF,IMDB-BINARY,graph,0.4283,Ips_Jac_Net_Net_euc
RISF,IMDB-BINARY,graph,0.2808,Ips_Jac_Net_Net_euc
RISF,IMDB-BINARY,graph,0.335,Ips_Jac_Net_Net_euc
RISF,IMDB-BINARY,graph,0.3842,Ips_Jac_Net_Net
RISF,IMDB-BINARY,graph,0.3517,Ips_Jac_Net_Net
RISF,IMDB-BINARY,graph,0.4217,Ips_Jac_Net_Net
RISF,IMDB-BINARY,graph,0.3817,Ips_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.4383,Ips_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.3192,Ips_Jac_Net_euc
RISF,IMDB-BINARY,graph,0.4058,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.3425,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.3508,Ips_Jac_Net
RISF,IMDB-BINARY,graph,0.4117,Ips_Jac_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2992,Ips_Jac_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.32,Ips_Jac_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.39,Ips_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.3733,Ips_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.3083,Ips_Jac_Deg_Net
RISF,IMDB-BINARY,graph,0.3275,Ips_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.3608,Ips_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.2792,Ips_Jac_Deg_euc
RISF,IMDB-BINARY,graph,0.4842,Ips_Jac_Deg
RISF,IMDB-BINARY,graph,0.3858,Ips_Jac_Deg
RISF,IMDB-BINARY,graph,0.2942,Ips_Jac_Deg
RISF,IMDB-BINARY,graph,0.3458,Ips_Jac_Net_euc
