clf,dataset_name,dataset_type,auc,n_estimators
IForest,BZR,graph,0.451,200
IForest,BZR,graph,0.6396,300
IForest,BZR,graph,0.6042,300
IForest,BZR,graph,0.5417,300
IForest,BZR,graph,0.6375,300
IForest,BZR,graph,0.4552,300
IForest,DHFR,graph,0.3818,1
IForest,DHFR,graph,0.4275,1
IForest,DHFR,graph,0.4964,1
IForest,DHFR,graph,0.4846,1
IForest,DHFR,graph,0.4224,1
IForest,DHFR,graph,0.4589,5
IForest,DHFR,graph,0.444,5
IForest,DHFR,graph,0.5519,5
IForest,DHFR,graph,0.3828,5
IForest,DHFR,graph,0.4101,5
IForest,DHFR,graph,0.4522,10
IForest,DHFR,graph,0.5036,10
IForest,DHFR,graph,0.5714,10
IForest,DHFR,graph,0.4327,10
IForest,DHFR,graph,0.4044,10
IForest,DHFR,graph,0.4142,25
IForest,DHFR,graph,0.5714,25
IForest,DHFR,graph,0.4748,25
IForest,DHFR,graph,0.4121,25
IForest,DHFR,graph,0.3428,25
IForest,DHFR,graph,0.444,50
IForest,DHFR,graph,0.5817,50
IForest,DHFR,graph,0.4748,50
IForest,DHFR,graph,0.4049,50
IForest,DHFR,graph,0.3679,50
IForest,DHFR,graph,0.4573,100
IForest,DHFR,graph,0.5529,100
IForest,DHFR,graph,0.4656,100
IForest,DHFR,graph,0.4193,100
IForest,DHFR,graph,0.3607,100
IForest,DHFR,graph,0.4388,200
IForest,DHFR,graph,0.5478,200
IForest,DHFR,graph,0.4687,200
IForest,DHFR,graph,0.4388,200
IForest,DHFR,graph,0.3566,200
IForest,DHFR,graph,0.4399,300
IForest,DHFR,graph,0.5406,300
IForest,DHFR,graph,0.4604,300
IForest,DHFR,graph,0.4409,300
IForest,DHFR,graph,0.3566,300
